310.	31.742718646149562	0.0090829002646939
338.	1.0666666666666666*^7*$Failed	1.0666666666666666*^7*Sqrt[1 + 2*0.03127068746868166[[2]]^2]
339.	1.0666666666666666*^7*$Failed	1.0666666666666666*^7*Sqrt[1 + 2*0.03127068746868166[[2]]^2]
340.	1.0666666666666666*^7*$Failed	1.0666666666666666*^7*Sqrt[1 + 2*0.03127068746868166[[2]]^2]
341.	1.0666666666666666*^7*$Failed	1.0666666666666666*^7*Sqrt[1 + 2*0.03127068746868166[[2]]^2]
342.	1.0666666666666666*^7*$Failed	1.0666666666666666*^7*Sqrt[1 + 2*0.03127068746868166[[2]]^2]
343.	1.0666666666666666*^7*$Failed	1.0666666666666666*^7*Sqrt[1 + 2*0.03127068746868166[[2]]^2]
344.	1.0666666666666666*^7*$Failed	1.0666666666666666*^7*Sqrt[1 + 2*0.03127068746868166[[2]]^2]
345.	1.0666666666666666*^7*$Failed	1.0666666666666666*^7*Sqrt[1 + 2*0.03127068746868166[[2]]^2]
346.	1.0666666666666666*^7*$Failed	1.0666666666666666*^7*Sqrt[1 + 2*0.03127068746868166[[2]]^2]
347.	1.0666666666666666*^7*$Failed	1.0666666666666666*^7*Sqrt[1 + 2*0.03127068746868166[[2]]^2]
348.	1.0666666666666666*^7*$Failed	1.0666666666666666*^7*Sqrt[1 + 2*0.03127068746868166[[2]]^2]
349.	1.0666666666666666*^7*$Failed	1.0666666666666666*^7*Sqrt[1 + 2*0.03127068746868166[[2]]^2]
350.	1.0666666666666666*^7*$Failed	1.0666666666666666*^7*Sqrt[1 + 2*0.03127068746868166[[2]]^2]
351.	1.0666666666666666*^7*$Failed	1.0666666666666666*^7*Sqrt[1 + 2*0.03127068746868166[[2]]^2]
352.	1.0666666666666666*^7*$Failed	1.0666666666666666*^7*Sqrt[1 + 2*0.03127068746868166[[2]]^2]
353.	1.0666666666666666*^7*$Failed	1.0666666666666666*^7*Sqrt[1 + 2*0.03127068746868166[[2]]^2]
354.	1.0666666666666666*^7*$Failed	1.0666666666666666*^7*Sqrt[1 + 2*0.03127068746868166[[2]]^2]
355.	1.0666666666666666*^7*$Failed	1.0666666666666666*^7*Sqrt[1 + 2*0.03127068746868166[[2]]^2]
356.	1.0666666666666666*^7*$Failed	1.0666666666666666*^7*Sqrt[1 + 2*0.03127068746868166[[2]]^2]
357.	1.0666666666666666*^7*$Failed	1.0666666666666666*^7*Sqrt[1 + 2*0.03127068746868166[[2]]^2]
358.	1.0666666666666666*^7*$Failed	1.0666666666666666*^7*Sqrt[1 + 2*0.03127068746868166[[2]]^2]
359.	1.0666666666666666*^7*$Failed	1.0666666666666666*^7*Sqrt[1 + 2*0.03127068746868166[[2]]^2]
360.	1.0666666666666666*^7*$Failed	1.0666666666666666*^7*Sqrt[1 + 2*0.03127068746868166[[2]]^2]
361.	1.0666666666666666*^7*$Failed	1.0666666666666666*^7*Sqrt[1 + 2*0.03127068746868166[[2]]^2]
362.	1.0666666666666666*^7*$Failed	1.0666666666666666*^7*Sqrt[1 + 2*0.03127068746868166[[2]]^2]
363.	1.0666666666666666*^7*$Failed	1.0666666666666666*^7*Sqrt[1 + 2*0.03127068746868166[[2]]^2]
364.	1.0666666666666666*^7*$Failed	1.0666666666666666*^7*Sqrt[1 + 2*0.03127068746868166[[2]]^2]
365.	1.0666666666666666*^7*$Failed	1.0666666666666666*^7*Sqrt[1 + 2*0.03127068746868166[[2]]^2]
366.	1.0666666666666666*^7*$Failed	1.0666666666666666*^7*Sqrt[1 + 2*0.03127068746868166[[2]]^2]
367.	1.0666666666666666*^7*$Failed	1.0666666666666666*^7*Sqrt[1 + 2*0.03127068746868166[[2]]^2]
368.	1.0666666666666666*^7*$Failed	1.0666666666666666*^7*Sqrt[1 + 2*0.03127068746868166[[2]]^2]
369.	1.0666666666666666*^7*$Failed	1.0666666666666666*^7*Sqrt[1 + 2*0.03127068746868166[[2]]^2]
370.	1.0666666666666666*^7*$Failed	1.0666666666666666*^7*Sqrt[1 + 2*0.03127068746868166[[2]]^2]
371.	1.0666666666666666*^7*$Failed	1.0666666666666666*^7*Sqrt[1 + 2*0.03127068746868166[[2]]^2]
372.	1.0666666666666666*^7*$Failed	1.0666666666666666*^7*Sqrt[1 + 2*0.03127068746868166[[2]]^2]
373.	1.0666666666666666*^7*$Failed	1.0666666666666666*^7*Sqrt[1 + 2*0.03127068746868166[[2]]^2]
374.	1.0666666666666666*^7*$Failed	1.0666666666666666*^7*Sqrt[1 + 2*0.03127068746868166[[2]]^2]
375.	1.0666666666666666*^7*$Failed	1.0666666666666666*^7*Sqrt[1 + 2*0.03127068746868166[[2]]^2]
376.	1.0666666666666666*^7*$Failed	1.0666666666666666*^7*Sqrt[1 + 2*0.03127068746868166[[2]]^2]
377.	1.0666666666666666*^7*$Failed	1.0666666666666666*^7*Sqrt[1 + 2*0.03127068746868166[[2]]^2]
378.	1.0666666666666666*^7*$Failed	1.0666666666666666*^7*Sqrt[1 + 2*0.03127068746868166[[2]]^2]
379.	1.0666666666666666*^7*$Failed	1.0666666666666666*^7*Sqrt[1 + 2*0.03127068746868166[[2]]^2]
380.	1.0666666666666666*^7*$Failed	1.0666666666666666*^7*Sqrt[1 + 2*0.03127068746868166[[2]]^2]
